Planet,Mass (10^24kg),Diameter (AU),Density (kg/m^3),Gravity (m/s^2),Escape Velocity (AU/s),Rotation Period (hours),Length of Day (hours),Distance from Sun (AU),Perihelion (10^6 AU),Aphelion (10^6 AU),Orbital Period (days),Orbital Velocity (AU/s),Orbital Inclination (deg),Orbital Eccentricity,Obliquity to Orbit (deg),Mean Temperature (C),Surface Pressure (bars),Number of Moons,Ring System?,Global Magnetic Field?,Diameter (AU),Escape Velocity (AU/s),Perihelion (10^6 AU),Aphelion (10^6 AU),Orbital Velocity (AU/s),Surface Gravity (m/s^2)
Mercury,0.33,1.4573188485333626e-21,5429,3.7,2.8743724625754315e-08,1407.6,4222.6,0.387037594379343,3.074910076243485e-07,4.665841811343375e-07,88.0,3.1684942959552433e-07,7.0,0.206,0.034,167,0.0,0,No,Yes,3.261410056954775e-05,2.8743724625754315e-08,3.074910076243485e-07,4.665841811343375e-07,3.1684942959552433e-07,1.8536155616250262e+33
Venus,4.87,3.615369408208202e-21,5243,8.9,6.951970607159184e-08,-5832.5,2802.0,0.7232723266294458,7.185931156438579e-07,7.279515376150337e-07,224.7,2.339605492793956e-07,3.4,0.007,177.4,464,92.0,0,No,No,8.091024252793726e-05,6.951970607159184e-08,7.185931156438579e-07,7.279515376150337e-07,2.339605492793956e-07,4.444659485143331e+33
Earth,5.97,3.810116669787163e-21,5514,9.8,7.486737576940659e-08,23.9,24.0,1.0000142334913595,9.833027656856884e-07,1.0167257012970306e-06,365.2,1.9920069624359968e-07,0.0,0.017,23.4,15,1.0,1,No,Yes,8.526859333165629e-05,7.486737576940659e-08,9.833027656856884e-07,1.0167257012970306e-06,1.9920069624359968e-07,4.905832016111475e+33
Moon,0.073,1.037955113476826e-21,3340,1.6,1.6043009093444267e-08,655.7,708.7,0.002566881454951083,2.4265051253834456e-09,2.7139423716409893e-09,27.3,6.684587122268446e-09,5.1,0.055,6.7,-20,0.0,0,No,No,2.3228940249882847e-05,1.6043009093444267e-08,2.4265051253834456e-09,2.7139423716409893e-09,6.684587122268446e-09,8.083149391525419e+32
Mars,0.642,2.0287168721538425e-21,3934,3.7,3.342293561134223e-08,24.6,24.7,1.5240858638772057,1.3817041581728876e-06,1.6664675695815235e-06,687.0,1.6109854964666954e-07,1.8,0.094,25.2,-65,0.01,2,No,No,4.540171573444728e-05,3.342293561134223e-08,1.3817041581728876e-06,1.6664675695815235e-06,1.6109854964666954e-07,1.8608314469475604e+33
Jupiter,1898.0,4.270819394111382e-20,1326,23.1,3.977329337749725e-07,9.9,9.9,5.2039510746859845,4.950605222752011e-06,5.457296926619959e-06,4331.0,8.756809130171664e-08,1.3,0.049,3.1,-110,,95,Yes,Yes,0.0009557890050904314,3.977329337749725e-07,4.950605222752011e-06,5.457296926619959e-06,8.756809130171664e-08,1.241334102085177e+34
Saturn,568.0,3.600315325411301e-20,687,9.0,2.3730284284052983e-07,10.7,10.7,9.572328759088414,9.07499547719164e-06,1.0070330499697414e-05,10747.0,6.484049508600391e-08,2.5,0.052,26.7,-140,,274,Yes,Yes,0.0008057333933697493,2.3730284284052983e-07,9.07499547719164e-06,1.0070330499697414e-05,6.484049508600391e-08,5.227356847105916e+33
Uranus,86.8,1.5268543738333352e-20,1270,8.7,1.423817057043179e-07,-17.2,17.2,19.164711279543635,1.826697122902298e-05,2.0063119788776515e-05,30589.0,4.5455192431425426e-08,0.8,0.047,97.8,-195,,28,Yes,Yes,0.0003417027245161184,1.423817057043179e-07,1.826697122902298e-05,2.0063119788776515e-05,4.5455192431425426e-08,4.441599351844459e+33
Neptune,102.0,1.4793623269145395e-20,1638,11.0,1.5708779737330848e-07,16.1,16.1,30.180910857042033,2.988745748237445e-05,3.0474364231709616e-05,59800.0,3.609677046024961e-08,1.8,0.01,28.3,-200,,16,Yes,Yes,0.0003310742309917116,1.5708779737330848e-07,2.988745748237445e-05,3.0474364231709616e-05,3.609677046024961e-08,5.559886845310362e+33
Pluto,0.013,7.096924747110616e-22,1850,0.7,8.68996325894898e-09,-153.3,153.3,39.48184537896635,2.965817614408064e-05,4.9304846155139826e-05,90560.0,3.14175594746617e-08,17.2,0.244,119.5,-225,1e-05,5,No,Unknown,1.588257900250983e-05,8.68996325894898e-09,2.965817614408064e-05,4.9304846155139826e-05,3.14175594746617e-08,3.0790578092984673e+32
